X,Y,Z,R
0,0.5866781,-0.3573833,1.7
0,2.0029401,0.6778631,1.8
0,0.964008,2.1103675,1.7
0,1.3889404,3.4378337,1.7
0,0.4289764,4.4426342,1.7
0,-0.9391502,4.1307305,1.7
0,-1.3650533,2.8115804,1.7
0,-0.4153283,1.7800538,1.7
0,2.4448408,3.681408,1.2
0,0.7434964,5.47971,1.2
0,-1.6696783,4.9311894,1.2
0,-2.4220977,2.5708491,1.2
0,-0.5866199,0.3573483,1.7
0,-2.0028825,-0.6778975,1.8
0,-0.963951,-2.1104023,1.7
0,-1.3888841,-3.4378684,1.7
0,-0.4289205,-4.4426693,1.7
0,0.9392063,-4.1307663,1.7
0,1.3651099,-2.8116164,1.7
0,0.4153855,-1.7800893,1.7
0,-2.4447845,-3.6814421,1.2
0,-0.743441,-5.479745,1.2
0,1.6697339,-4.9312256,1.2
0,2.4221545,-2.5708856,1.2
